DN	UF	COD_EMB	SIGLA OM	QTDE	
3º	PB	54	CPPB	14	
3º	PB	51	CPPB	1529	
3º	PB	28	CPPB	4	
3º	PB	31	CPPB	5	
3º	PB	57	CPPB	2	
3º	PB	33	CPPB	37	
3º	PB	44	CPPB	1	
3º	PB	34	CPPB	1631	
3º	PB	105	CPPB	26	
3º	PB	35	CPPB	858	
3º	PB	108	CPPB	1413	
3º	PB	37	CPPB	50	
3º	PB	99	CPPB	36	
3º	PB	13	CPPB	1	
3º	PB	38	CPPB	21	
3º	PB	41	CPPB	5	
3º	PB	42	CPPB	1	
3º	PB	46	CPPB	2	
3º	PB	43	CPPB	170	
3º	AL	107	CPAL	2	
3º	AL	48	CPAL	18	
3º	AL	25	CPAL	2	
3º	AL	53	CPAL	1	
3º	AL	26	CPAL	1073	
3º	AL	55	CPAL	1	
3º	AL	54	CPAL	5	
3º	AL	51	CPAL	1216	
3º	AL	28	CPAL	9	
3º	AL	31	CPAL	18	
3º	AL	32	CPAL	14	
3º	AL	33	CPAL	9	
3º	AL	44	CPAL	3	
3º	AL	59	CPAL	4	
3º	AL	34	CPAL	2964	
3º	AL	105	CPAL	11	
3º	AL	35	CPAL	1352	
3º	AL	60	CPAL	4	
3º	AL	108	CPAL	1175	
3º	AL	37	CPAL	109	
3º	AL	99	CPAL	635	
3º	AL	13	CPAL	1	
3º	AL	38	CPAL	22	
3º	AL	4	CPAL	2	
3º	AL	41	CPAL	2	
3º	AL	42	CPAL	1	
3º	AL	45	CPAL	2	
3º	AL	2	CPAL	1	
3º	AL	46	CPAL	2	
3º	AL	43	CPAL	46	
3º	PE	52	CPPE	1	
3º	PE	48	CPPE	18	
3º	PE	25	CPPE	103	
3º	PE	26	CPPE	1237	
3º	PE	54	CPPE	1	
3º	PE	51	CPPE	60	
3º	PE	10	CPPE	8	
3º	PE	28	CPPE	4	
3º	PE	30	CPPE	1	
3º	PE	31	CPPE	130	
3º	PE	57	CPPE	1	
3º	PE	32	CPPE	4	
3º	PE	33	CPPE	41	
3º	PE	44	CPPE	1	
3º	PE	59	CPPE	8	
3º	PE	34	CPPE	3518	
3º	PE	105	CPPE	72	
3º	PE	103	CPPE	1	
3º	PE	35	CPPE	2932	
3º	PE	108	CPPE	2119	
